"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","167","test","chromium","Fri Sep 19 10:44:12 IST 2025","passed","Fri Sep 19 10:44:12 IST 2025","","test-4.spec.ts","",""
"","30576","Upload the image","chromium","Fri Oct 17 17:50:51 IST 2025","passed","Fri Oct 17 17:51:22 IST 2025","","fileupload.spec.ts","",""
"","15747","TC01-Create new product","chromium","Mon Oct 13 16:22:36 IST 2025","passed","Mon Oct 13 16:22:52 IST 2025","","TC01-Create new product.spec.ts","",""
"","5808","@BookingFlight booking for Student","chromium","Sat Sep 20 00:06:45 IST 2025","passed","Sat Sep 20 00:06:51 IST 2025","","flightbooking.spec.ts","",""
"","14279","step-4 New product","chromium","Fri Oct 17 17:52:09 IST 2025","passed","Fri Oct 17 17:52:23 IST 2025","","POM main.spec.ts","",""
"","32160","Power of get by role","chromium","Fri Oct 17 17:50:51 IST 2025","broken","Fri Oct 17 17:51:23 IST 2025","","dropdown manual handle.spec.ts","",""
"","34123","Handle By Pages and context gracefully","chromium","Fri Oct 17 17:51:39 IST 2025","broken","Fri Oct 17 17:52:13 IST 2025","","new.spec.ts","",""
"","5319","User signup and Admin validation","chromium","Thu Sep 18 22:29:44 IST 2025","passed","Thu Sep 18 22:29:49 IST 2025","Subscription Flow","TC 2.spec.ts","",""
"","12559","TC03-Update product images","chromium","Fri Oct 17 14:56:15 IST 2025","passed","Fri Oct 17 14:56:27 IST 2025","","TC03-UpdateProductImages.spec.ts","",""
"","38261","step 3-New coupon create form","chromium","Tue Sep 16 19:13:10 IST 2025","passed","Tue Sep 16 19:13:49 IST 2025","","POM signup.spec.ts","",""
"","15017","Handle filters","chromium","Mon Oct 13 17:02:25 IST 2025","passed","Mon Oct 13 17:02:40 IST 2025","","product filter.spec.ts","",""
"","8526","TC01-Create new product","chromium","Fri Oct 17 14:54:56 IST 2025","passed","Fri Oct 17 14:55:05 IST 2025","","TC01-CreateNewProduct.spec.ts","",""
"","361","test","chromium","Fri Sep 19 10:42:30 IST 2025","passed","Fri Sep 19 10:42:31 IST 2025","","test-3.spec.ts","",""
"","14463","TC02-Update product name","chromium","Fri Oct 17 14:55:41 IST 2025","passed","Fri Oct 17 14:55:56 IST 2025","","TC02-UpdateProduct.spec.ts","",""
"","7985","@BookingFlight booking for Senior Citizen","chromium","Sat Sep 20 00:06:37 IST 2025","passed","Sat Sep 20 00:06:45 IST 2025","","flightbooking.spec.ts","",""
"","18917","Handle By Pages and context gracefully","chromium","Fri Oct 17 17:52:25 IST 2025","passed","Fri Oct 17 17:52:44 IST 2025","","RB-dropdown.spec.ts","",""
"","282","database testing","chromium","Thu Oct 16 13:59:20 IST 2025","passed","Thu Oct 16 13:59:20 IST 2025","","database.spec.ts","",""
"","4945","step-4 New product","chromium","Fri Sep 19 17:15:38 IST 2025","passed","Fri Sep 19 17:15:43 IST 2025","","POM signup.spec.ts","",""
"","189","database testing","chromium","Fri Oct 17 14:56:50 IST 2025","passed","Fri Oct 17 14:56:50 IST 2025","","TC04-DatabaseValidationPostUpdate.spec.ts","",""
"","16488","TC02-Update existing product name and verify changes","chromium","Mon Oct 13 17:39:28 IST 2025","failed","Mon Oct 13 17:39:45 IST 2025","","TC02-Update existing product name.spec.ts","",""
"","327","test","chromium","Fri Sep 19 10:42:19 IST 2025","passed","Fri Sep 19 10:42:19 IST 2025","","test-2.spec.ts","",""
"","6590","flight booking","chromium","Thu Sep 18 17:06:46 IST 2025","passed","Thu Sep 18 17:06:53 IST 2025","","flightbooking.spec.ts","",""
"","32003","handle drag and drop","chromium","Fri Oct 17 17:50:51 IST 2025","broken","Fri Oct 17 17:51:23 IST 2025","","drag and drop.spec.ts","",""
"","31935","Handle frames operations","chromium","Fri Oct 17 17:50:51 IST 2025","broken","Fri Oct 17 17:51:23 IST 2025","playwrite Jayesh practice","iframe handling.spec.ts","",""
"","34384","handle keybaord operation","chromium","Fri Oct 17 17:51:31 IST 2025","broken","Fri Oct 17 17:52:06 IST 2025","","keyboard operations.spec.ts","",""
"","20345","User signup and Admin validation","chromium","Fri Oct 17 17:51:38 IST 2025","passed","Fri Oct 17 17:51:59 IST 2025","","Login asseration.spec.ts","",""
"","67401","Handle By Pages and context gracefully","chromium","Fri Oct 17 17:51:45 IST 2025","failed","Fri Oct 17 17:52:52 IST 2025","","pages-handle.spec.ts","",""
